10,20,50,100,200
0.492929,0.519388,0.631579,0.658889,0.7725
0.507071,0.504082,0.641053,0.641111,0.6775
0.493939,0.491837,0.553684,0.551111,0.685
0.49697,0.504082,0.496842,0.556667,0.7025
0.492929,0.495918,0.669474,0.68,0.71125
0.517172,0.517347,0.524211,0.595556,0.8425
0.517172,0.516327,0.561053,0.584444,0.805
0.477778,0.476531,0.487368,0.643333,0.81125
0.518182,0.563265,0.625263,0.683333,0.805
0.520202,0.479592,0.546316,0.615556,0.8225
0.494949,0.531633,0.498947,0.581111,0.8675
0.50303,0.493878,0.567368,0.724444,0.8425
0.5,0.535714,0.549474,0.712222,0.84375
0.50202,0.515306,0.561053,0.527778,0.85
0.50202,0.527551,0.535789,0.635556,0.86375
0.565657,0.494898,0.625263,0.73,0.84625
0.50202,0.497959,0.515789,0.66,0.8525
0.493939,0.544898,0.551579,0.681111,0.8825
0.494949,0.495918,0.645263,0.741111,0.87625
0.50202,0.561224,0.636842,0.717778,0.88
0.505051,0.533673,0.555789,0.66,0.81875
0.5,0.50102,0.572632,0.652222,0.875
0.5,0.49898,0.549474,0.778889,0.84875
0.49798,0.496939,0.565263,0.653333,0.83875
0.49899,0.516327,0.576842,0.718889,0.83875
0.494949,0.57449,0.607368,0.756667,0.84625
0.491919,0.489796,0.524211,0.766667,0.83125
0.524242,0.511224,0.625263,0.732222,0.8225
0.494949,0.539796,0.557895,0.746667,0.8375
0.493939,0.491837,0.607368,0.721111,0.85375
0.520202,0.492857,0.505263,0.68,0.81375
0.475758,0.47449,0.544211,0.77,0.725
0.522222,0.521429,0.517895,0.712222,0.79625
0.455556,0.521429,0.549474,0.67,0.74
0.521212,0.531633,0.581053,0.601111,0.83875
0.517172,0.517347,0.694737,0.752222,0.85625
0.518182,0.516327,0.626316,0.768889,0.85875
0.476768,0.47551,0.651579,0.768889,0.86
0.505051,0.478571,0.594737,0.684444,0.84
0.518182,0.602041,0.602105,0.773333,0.88875
0.508081,0.50102,0.562105,0.646667,0.7
0.508081,0.509184,0.517895,0.633333,0.655
0.489899,0.508163,0.522105,0.61,0.6825
0.489899,0.486735,0.48,0.537778,0.74625
0.507071,0.526531,0.581053,0.632222,0.78625
0.488889,0.536735,0.608421,0.717778,0.74
0.517172,0.516327,0.513684,0.687778,0.80625
0.478788,0.477551,0.572632,0.672222,0.78
0.517172,0.516327,0.672632,0.721111,0.7375
0.515152,0.513265,0.586316,0.662222,0.7625






















